"tensor(3.8198, grad_fn=<DivBackward0>)"
"tensor(3.5140, grad_fn=<DivBackward0>)"
"tensor(3.2386, grad_fn=<DivBackward0>)"
"tensor(2.9827, grad_fn=<DivBackward0>)"
"tensor(2.7693, grad_fn=<DivBackward0>)"
"tensor(2.5876, grad_fn=<DivBackward0>)"
"tensor(2.4154, grad_fn=<DivBackward0>)"
"tensor(2.2583, grad_fn=<DivBackward0>)"
"tensor(2.1557, grad_fn=<DivBackward0>)"
"tensor(2.0615, grad_fn=<DivBackward0>)"
"tensor(2.0010, grad_fn=<DivBackward0>)"
"tensor(1.9778, grad_fn=<DivBackward0>)"
"tensor(2.0045, grad_fn=<DivBackward0>)"
"tensor(1.9753, grad_fn=<DivBackward0>)"
"tensor(1.9809, grad_fn=<DivBackward0>)"
"tensor(1.9474, grad_fn=<DivBackward0>)"
"tensor(1.9400, grad_fn=<DivBackward0>)"
"tensor(1.9390, grad_fn=<DivBackward0>)"
"tensor(1.9411, grad_fn=<DivBackward0>)"
"tensor(1.9254, grad_fn=<DivBackward0>)"
